时点,事件/指标,数值,口径说明,来源
2016,Humira核心物质专利到期,—,专利到期但靠130+项外围专利（专利丛林）继续防守,AbbVie披露及多家法律分析
2022,Humira全球销售（峰值）,21237,百万美元；上市以来最高年销,AbbVie FY2022业绩（广泛引用）
2023-01,美国Humira生物类似药获准入场,—,多款biosimilar上市,FDA/AbbVie披露
2023全年,Humira生物类似药美国份额,约2%,几乎没动，卡在PBM处方集外,AAM 2024 Savings Report 2025-01
2023全年,Humira全球销售,14404,百万美元,AbbVie FY2023业绩公告
2024-04-01,CVS Caremark将Humira移出主要全国商业处方集,—,换上biosimilar Hyrimoz；该处方集覆盖约3000万人,Crain's Chicago Business / BioSpace 2024-04
2024-04（拐点后一周）,Hyrimoz周新处方量,从约640张跳到约8300张,3月底→4月初,BioSpace援引处方数据2024
2024年底,Humira生物类似药美国份额,约21%,从2023年约2%快速上升,AAM 2024 Savings Report 2025-01
2024-Q4,Humira美国区收入同比,降54.5%,美国区,AbbVie FY2024业绩公告2025-01-31
2024-Q4,Humira全球收入,1682,百万美元，同比降49.1%,AbbVie FY2024业绩公告2025-01-31
2024全年,Humira全球销售,8993,百万美元（vs 2023年14404，2022年21237）,AbbVie FY2024业绩公告2025-01-31
2024全年,生物类似药为美国节省（单年）,20200,百万美元,AAM 2024 Savings Report 2025-01
2015至2024累计,生物类似药为美国累计节省,56200,百万美元；自首个biosimilar上市,AAM 2024 Savings Report 2025-01
未来十年,将失去独占的生物药数量,约118个,对应约2340亿美元biosimilar机会,AAM 2024 Savings Report 2025-01
当前,有在研生物类似药跟进的分子数,仅12个,反映高开发壁垒、供给缺口,AAM 2024 Savings Report 2025-01
2024-06-20,FDA取消可互换性所需切换研究要求,—,互换性已非结构性壁垒（守E5口径）,FDA互换性指南草案2024-06-20；FTC 2024-08支持意见
2025-12,FDA拟合并生物相似性与可互换性标准,—,所有获批biosimilar事实上具可互换地位,Jones Day分析2025-12
