环节,公司,股票代码,财年,营收,口径_币种,毛利率_gross,经营利润率_operating,净利率_net,口径说明,来源,时点
美国分销,McKesson,MCK,FY2024(截至2024-03-31),3090亿美元,USD,约3.56%,约1.26%(GAAP),—,gross与operating均为公司披露;经营利润率razor-thin,McKesson FY2024 8-K,2024-05
美国分销,Cencora(原AmerisourceBergen),COR,FY2024(截至2024-09-30),2940亿美元,USD,—,约1.22%(调整后),—,调整后经营利润36亿/营收2940亿;FY2024+12.1%,Cencora FY2024 8-K,2024-11
美国分销,Cardinal Health,CAH,FY2024(截至2024-06-30),2268亿美元,USD,—,约1.06%(non-GAAP),—,non-GAAP经营利润24亿/营收2268亿;FY2024+11%,Cardinal FY2024 8-K,2024-08
美国分销,三家合计,—,FY2024,约8300亿美元,USD,约3.5-5%,约1-3%,—,CR3按收入>90%,历史峰值约95%(2018);毛利为gross口径,IntuitionLabs引用三家年报,2024
中国流通,国药控股,1099.HK,2024(自然年),5845亿元,CNY,—,—,约1.21%,归母净利70.50亿(-22.14%);分销为主,国控2024年报,2025-04
中国流通,上海医药,601607.SS,2024(自然年),2752.51亿元,CNY,11%+(含工业),—,约1.65%,归母净利45.53亿(+20.82%);含医药工业,上药2024年报,2025-04
中国流通,华润医药,3320.HK,2024(自然年),2576.73亿元,CNY,15.79%(含工业),—,—,15.79%含医药工业自有药品,不能代表纯分销毛利,华润医药2024年报,2025-04
中国流通,纯分销批发口径,—,2024,—,CNY,<8%(逼近6%),—,约1-2%,纯分销批发毛利不足8%,集采压价逼近6%生死线;此为gross口径,医药经济报/前瞻产业研究院,2025-04
集中度对照,美国CR3,—,—,—,—,—,—,—,三大分销按收入>90%,历史峰值约95%(2018),IntuitionLabs,2024
集中度对照,中国CR4,—,2022,—,—,—,—,—,国控+上药+华润+九州通合计约45.5%,前瞻产业研究院,2024
