id,judgment,ref_chapter,issue_no,falsification_trigger,watch_indicator,approx_timing,overtime_risk
1,减重药赢家集中礼来,7,5,口服三期兑现不及预期或安全性问题/诺和下一代翻盘/价格端同压礼来/第三方梯队切入,orforglipron上市后放量与肝酶安全信号;amycretin与CagriSema注册性读出;MariTide/petrelintide/玛仕度肽三期可比数据,2026-2027口服决定与上市后数据;下一代读出逐次跟踪,high
2,司美格鲁肽专利悬崖改写供给,7;25,5;7,仿制冲击先在非美市场显现再到美国,印/加/中/巴/土仿制上市;美国核心专利状态,非美约2026起;美国约2031,medium
3,集采毁旧模式不毁创新,15,2,集采品种向仍在专利期创新药系统性蔓延;除外支付与谈判通道收窄,国家集采纳入清单是否触及独家创新药;DRG创新药除外支付目录松紧,逐批国采结果跟踪,high
4,商保/丙类能承接创新药准入,16,2;9,丙类目录长期不扩容;商保理赔规模始终偏小,丙类品种数较首版19个的扩容速度;商业健康险赔付占居民医疗费用比重能否突破约7%,2026起逐版目录与年度赔付数据,high
5,全国医保穿底叙事不成立,16,9,统筹基金累计结存转向持续消耗;居民医保盘子恶化外溢,全国基本医保统筹基金当期与累计结存;职工/居民两盘分项,每年医保事业发展统计公报,low
6,IRA短期省钱真长期扭曲被夸大,21,3,小分子相对生物药被提前砍价真实压缩早期融资;谈判净价外溢压垮商业市场,谈判清单小分子/生物药结构;小分子biotech早期融资额;谈判价对商保净价传导,逐年谈判清单(折扣均相对列表价口径),medium
7,出海议价权在MNC中国是低价de-risked供给方,26,4,中国资产首付款占比系统性抬升;自主出海/NewCo拿到主导条款,license-out的upfront占biodollar比例;中国方留权与分成结构;标的FDA关键节点兑现,逐笔交易与后续FDA读出,medium
8,AI制药压缩发现端未撼动三期失败率,4,6,AI设计分子在大样本注册性三期硬终点上连续成功,AI来源分子三期成功率;二期到三期推进率能否离开约28.9%基准,首批AI分子三期读出约2027起,medium
9,专利悬崖墙是MNC长期向下拉力但gross不等于net,25,7,生物类似药上市节奏/PBM处方集取舍/皮下版转换率任一变化改写真实净侵蚀,关键品种生物类似药获批与处方集纳入;Keytruda皮下版转换比例,2026-2030窗口逐年,medium
10,生物类似药侵蚀节奏由PBM处方集定非专利到期,25,7,PBM处方集对类似药从排斥转为优先;返利合约结构变化,三大PBM国家处方集对在售生物药与类似药排位,每年处方集更新,medium
11,CXO地缘断单仍隔多道程序,8,10,OMB/BCC名单如期落地+FAR快速修订+grandfather豁免收窄,OMB公告;DoD1260H清单;FAR修订进度与grandfather适用范围,OMB名单约2026-12及后续,medium
12,创新药ROI回升脆弱被GLP-1驱动,4;27,1,剔除GLP-1后内部回报率持续回升或GLP-1红利证明可外推,Deloitte等口径Top药企IRR及剔GLP-1后分项,逐年R&D回报报告(单一机构特定样本预测值),high
